 soviets.557.t:0 "The Great Purge - "
 soviets.557.d:0 ""
 soviets.557.a:0 "He has to go."
 soviets.557.b:0 "He is not guilty."
 soviets.558.t:0 "The Great Purge - "
 soviets.558.d:0 ""
 soviets.558.a:0 "He has to go."
 soviets.558.b:0 "He is not guilty."
 soviets.559.t:0 "The Great Purge - "
 soviets.559.d:0 ""
 soviets.559.a:0 "He has to go."
 soviets.559.b:0 "He is not guilty."
 soviets.560.t:0 "The Great Purge - "
 soviets.560.d:0 ""
 soviets.560.a:0 "He has to go."
 soviets.560.b:0 "He is not guilty."
 soviets.561.t:0 "The Great Purge - "
 soviets.561.d:0 ""
 soviets.561.a:0 "He has to go."
 soviets.561.b:0 "He is not guilty."
 soviets.562.t:0 "The Great Purge - "
 soviets.562.d:0 ""
 soviets.562.a:0 "He has to go."
 soviets.562.b:0 "He is not guilty."
 soviets.563.t:0 "The Great Purge - "
 soviets.563.d:0 ""
 soviets.563.a:0 "He has to go."
 soviets.563.b:0 "He is not guilty."
 soviets.564.t:0 "The Great Purge - "
 soviets.564.d:0 ""
 soviets.564.a:0 "He has to go."
 soviets.564.b:0 "He is not guilty."
 soviets.565.t:0 "The Great Purge - "
 soviets.565.d:0 ""
 soviets.565.a:0 "He has to go."
 soviets.565.b:0 "He is not guilty."
 soviets.566.t:0 "The Great Purge - "
 soviets.566.d:0 ""
 soviets.566.a:0 "He has to go."
 soviets.566.b:0 "He is not guilty."
 soviets.567.t:0 "The Great Purge - "
 soviets.567.d:0 ""
 soviets.567.a:0 "He has to go."
 soviets.567.b:0 "He is not guilty."
 soviets.568.t:0 "The Great Purge - "
 soviets.568.d:0 ""
 soviets.568.a:0 "He has to go."
 soviets.568.b:0 "He is not guilty."
 soviets.569.t:0 "The Great Purge - "
 soviets.569.d:0 ""
 soviets.569.a:0 "He has to go."
 soviets.569.b:0 "He is not guilty."
 soviets.570.t:0 "The Great Purge - "
 soviets.570.d:0 ""
 soviets.570.a:0 "He has to go."
 soviets.570.b:0 "He is not guilty."
 soviets.571.t:0 "The Great Purge - "
 soviets.571.d:0 ""
 soviets.571.a:0 "He has to go."
 soviets.571.b:0 "He is not guilty."
 soviets.572.t:0 "The Great Purge - "
 soviets.572.d:0 ""
 soviets.572.a:0 "He has to go."
 soviets.572.b:0 "He is not guilty."
 soviets.573.t:0 "The Great Purge - "
 soviets.573.d:0 ""
 soviets.573.a:0 "He has to go."
 soviets.573.b:0 "He is not guilty."
 soviets.574.t:0 "The Great Purge - "
 soviets.574.d:0 ""
 soviets.574.a:0 "He has to go."
 soviets.574.b:0 "He is not guilty."
 soviets.575.t:0 "The Great Purge - "
 soviets.575.d:0 ""
 soviets.575.a:0 "He has to go."
 soviets.575.b:0 "He is not guilty."
 soviets.576.t:0 "The Great Purge - "
 soviets.576.d:0 ""
 soviets.576.a:0 "He has to go."
 soviets.576.b:0 "He is not guilty."
 soviets.577.t:0 "The Great Purge - "
 soviets.577.d:0 ""
 soviets.577.a:0 "He has to go."
 soviets.577.b:0 "He is not guilty."
 soviets.578.t:0 "The Great Purge - "
 soviets.578.d:0 ""
 soviets.578.a:0 "He has to go."
 soviets.578.b:0 "He is not guilty."
 soviets.579.t:0 "The Great Purge - "
 soviets.579.d:0 ""
 soviets.579.a:0 "He has to go."
 soviets.579.b:0 "He is not guilty."
 soviets.580.t:0 "The Great Purge - "
 soviets.580.d:0 ""
 soviets.580.a:0 "He has to go."
 soviets.580.b:0 "He is not guilty."
 soviets.581.t:0 "The Great Purge - "
 soviets.581.d:0 ""
 soviets.581.a:0 "He has to go."
 soviets.581.b:0 "He is not guilty."
 soviets.582.t:0 "The Great Purge - "
 soviets.582.d:0 ""
 soviets.582.a:0 "He has to go."
 soviets.582.b:0 "He is not guilty."
 soviets.583.t:0 "The Great Purge - "
 soviets.583.d:0 ""
 soviets.583.a:0 "He has to go."
 soviets.583.b:0 "He is not guilty."
 soviets.584.t:0 "The Great Purge - "
 soviets.584.d:0 ""
 soviets.584.a:0 "He has to go."
 soviets.584.b:0 "He is not guilty."
 soviets.585.t:0 "The Great Purge - "
 soviets.585.d:0 ""
 soviets.585.a:0 "He has to go."
 soviets.585.b:0 "He is not guilty."
 soviets.586.t:0 "The Great Purge - "
 soviets.586.d:0 ""
 soviets.586.a:0 "He has to go."
 soviets.586.b:0 "He is not guilty."
 soviets.587.t:0 "The Great Purge - "
 soviets.587.d:0 ""
 soviets.587.a:0 "He has to go."
 soviets.587.b:0 "He is not guilty."
 soviets.588.t:0 "The Great Purge - "
 soviets.588.d:0 ""
 soviets.588.a:0 "He has to go."
 soviets.588.b:0 "He is not guilty."
 soviets.589.t:0 "The Great Purge - "
 soviets.589.d:0 ""
 soviets.589.a:0 "He has to go."
 soviets.589.b:0 "He is not guilty."
 soviets.590.t:0 "The Great Purge - "
 soviets.590.d:0 ""
 soviets.590.a:0 "He has to go."
 soviets.590.b:0 "He is not guilty."
 soviets.591.t:0 "The Great Purge - "
 soviets.591.d:0 ""
 soviets.591.a:0 "He has to go."
 soviets.591.b:0 "He is not guilty."
