 SOV_Nikolai_voznesensky:0 "Nikolai Voznesensky"
 SOV_Nikolai_voznesensky_desc:0 ""
 SOV_Kliment_voroshilov_advisor:0 "Kliment Voroshilov Advisor"
 SOV_Kliment_voroshilov_advisor_desc:0 ""
 SOV_Anatoly_pepelyayev:0 "Anatoly Pepelyayev"
 SOV_Anatoly_pepelyayev_desc:0 ""
 SOV_Lazar_kaganovich:0 "Lazar Kaganovich"
 SOV_Lazar_kaganovich_desc:0 ""
 SOV_Yevgeny_preobrazhensky:0 "Yevgeny Preobrazhensky"
 SOV_Yevgeny_preobrazhensky_desc:0 ""
 SOV_Genrikh_yagoda:0 "Genrikh Yagoda"
 SOV_Genrikh_yagoda_desc:0 ""
 SOV_Nikolay_yezhov:0 "Nikolay Yezhov"
 SOV_Nikolay_yezhov_desc:0 ""
 SOV_Lavrentiy_beria:0 "Lavrentiy Beria"
 SOV_Lavrentiy_beria_desc:0 ""
 SOV_Aleksey_rykov:0 "Aleksey Rykov"
 SOV_Aleksey_rykov_desc:0 ""
 SOV_Lev_kamenev:0 "Lev Kamenev"
 SOV_Lev_kamenev_desc:0 ""
 SOV_Nikolay_bukharin:0 "Nikolay Bukharin"
 SOV_Nikolay_bukharin_desc:0 ""
 SOV_Grigory_zinovyev:0 "Grigory Zinovyev"
 SOV_Grigory_zinovyev_desc:0 ""
 SOV_Mikhail_kalinin:0 "Mikhail Kalinin"
 SOV_Mikhail_kalinin_desc:0 ""
 SOV_Nikita_khrushchev:0 "Nikita Khrushchev"
 SOV_Nikita_khrushchev_desc:0 ""
 SOV_Leon_trotsky:0 "Leon Trotsky"
 SOV_Leon_trotsky_desc:0 ""
 SOV_Vasily_stalin:0 "Vasily Stalin"
 SOV_Vasily_stalin_desc:0 ""
 SOV_Yakov_agranov:0 "Yakov Agranov"
 SOV_Yakov_agranov_desc:0 ""
 SOV_Ivan_maisky:0 "Ivan Maisky"
 SOV_Ivan_maisky_desc:0 ""
 SOV_Vyacheslav_molotov:0 "Vyacheslav Molotov"
 SOV_Vyacheslav_molotov_desc:0 ""
 SOV_Maksim_litvinov:0 "Maksim Litvinov"
 SOV_Maksim_litvinov_desc:0 ""
 SOV_Ivan_smirnov:0 "Ivan Smirnov"
 SOV_Ivan_smirnov_desc:0 ""
 SOV_Ivar_smilga:0 "Ivar Smilga"
 SOV_Ivar_smilga_desc:0 ""
 SOV_Karl_radek:0 "Karl Radek"
 SOV_Karl_radek_desc:0 ""
 SOV_Aleksandr_shlyapnikov:0 "Aleksandr Shlyapnikov"
 SOV_Aleksandr_shlyapnikov_desc:0 ""
 SOV_Mikhail_tomsky:0 "Mikhail Tomsky"
 SOV_Mikhail_tomsky_desc:0 ""
 SOV_Grigory_sokolnikov:0 "Grigory Sokolnikov"
 SOV_Grigory_sokolnikov_desc:0 ""
 SOV_Raya_dunayevskaya:0 "Raya Dunayevskaya"
 SOV_Raya_dunayevskaya_desc:0 ""
 SOV_Joseph_stalin:0 "Joseph Stalin"
 SOV_Joseph_stalin_desc:0 ""
 SOV_Supreme_soviet_soviet_union:0 "Supreme Soviet Soviet Union"
 SOV_Supreme_soviet_soviet_union_desc:0 ""
 SOV_Empty_supreme_soviet_soviet_union:0 "Empty Supreme Soviet Soviet Union"
 SOV_Empty_supreme_soviet_soviet_union_desc:0 ""
 SOV_Alexander_kerensky:0 "Alexander Kerensky"
 SOV_Alexander_kerensky_desc:0 ""
 SOV_Pavel_milyukov:0 "Pavel Milyukov"
 SOV_Pavel_milyukov_desc:0 ""
 SOV_Alexander_konovalov:0 "Alexander Konovalov"
 SOV_Alexander_konovalov_desc:0 ""
 SOV_Ivan_nikolaevich:0 "Ivan Nikolaevich"
 SOV_Ivan_nikolaevich_desc:0 ""
 SOV_Andrey_vlasov:0 "Andrey Vlasov"
 SOV_Andrey_vlasov_desc:0 ""
 SOV_Kirill_vladimirovich:0 "Kirill Vladimirovich"
 SOV_Kirill_vladimirovich_desc:0 ""
 SOV_Vladimir_kirillovich:0 "Vladimir Kirillovich"
 SOV_Vladimir_kirillovich_desc:0 ""
 SOV_Vladimir_kirillovich_democratic_political_advisor:0 "Vladimir Kirillovich Democratic Political Advisor"
 SOV_Vladimir_kirillovich_democratic_political_advisor_desc:0 ""
 SOV_Peter_krutitsy:0 "Peter Krutitsy"
 SOV_Peter_krutitsy_desc:0 ""
 SOV_Vladimir_nabokov:0 "Vladimir Nabokov"
 SOV_Vladimir_nabokov_desc:0 ""
 SOV_Konstantin_rodzaevsky:0 "Konstantin Rodzaevsky"
 SOV_Konstantin_rodzaevsky_desc:0 ""
 SOV_Anastasy_vonsyatsky:0 "Anastasy Vonsyatsky"
 SOV_Anastasy_vonsyatsky_desc:0 ""
 SOV_Viktor_baydalakov:0 "Viktor Baydalakov"
 SOV_Viktor_baydalakov_desc:0 ""
 SOV_Vsevolod_mikhailovich_eikhenbaum:0 "Vsevolod Mikhailovich Eikhenbaum"
 SOV_Vsevolod_mikhailovich_eikhenbaum_desc:0 ""
 SOV_Peter_arshinov:0 "Peter Arshinov"
 SOV_Peter_arshinov_desc:0 ""
 SOV_Alexei_borovoi:0 "Alexei Borovoi"
 SOV_Alexei_borovoi_desc:0 ""
 SOV_Peoples_council_commune:0 "Peoples Council Commune"
 SOV_Peoples_council_commune_desc:0 ""
 SOV_Council_of_moscow:0 "Council Of Moscow"
 SOV_Council_of_moscow_desc:0 ""
 SOV_Vsevolod_merkulov:0 "Vsevolod Merkulov"
 SOV_Vsevolod_merkulov_desc:0 ""
 SOV_Anton_ivanovich_denikin:0 "Anton Ivanovich Denikin"
 SOV_Anton_ivanovich_denikin_desc:0 ""
 SOV_Vladimir_kislitsin:0 "Vladimir Kislitsin"
 SOV_Vladimir_kislitsin_desc:0 ""
 SOV_Vladimir_sidorin:0 "Vladimir Sidorin"
 SOV_Vladimir_sidorin_desc:0 ""
 SOV_Boris_shteifon:0 "Boris Shteifon"
 SOV_Boris_shteifon_desc:0 ""
 SOV_Vladimir_kirillovich_democratic_military_advisor:0 "Vladimir Kirillovich Democratic Military Advisor"
 SOV_Vladimir_kirillovich_democratic_military_advisor_desc:0 ""
 SOV_Semyon_timoshenko:0 "Semyon Timoshenko"
